,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,x_cv_below7disorders,x_cv_past_year,x_ln_mx_conflict,x_ln_mx_war_10years,year_end,year_start
155,54.0,18.0,,CAN,p,,,total,0.004,,0.062,1.0,0.0,-4.029621537411595,-2.5328775920644824,1991.0,1990.0
156,54.0,18.0,,CAN,p,,,total,0.006,,0.124,1.0,1.0,-4.029621537411595,-2.5328775920644824,1991.0,1990.0
157,24.0,15.0,,CAN,p,,0.050300000000000004,female,-0.99,0.066,0.057,1.0,0.0,-2.3469886286762955,-2.495916050037617,2002.0,2002.0
158,24.0,15.0,,CAN,p,,,female,0.0078000000000000005,,0.08900000000000001,1.0,1.0,-2.3469886286762955,-2.495916050037617,2002.0,2002.0
159,24.0,15.0,,CAN,p,,0.0217,male,-0.99,0.0416,0.026000000000000002,1.0,0.0,-2.3469886286762955,-2.495916050037617,2002.0,2002.0
160,24.0,15.0,,CAN,p,,,male,0.0055000000000000005,,0.043,1.0,1.0,-2.3469886286762955,-2.495916050037617,2002.0,2002.0
161,24.0,20.0,,CAN,p,2842.0,,total,-0.99,,0.07,1.0,1.0,-2.3469886286762955,-2.495916050037617,2002.0,2002.0
162,19.0,15.0,,CAN,p,2830.0,,total,-0.99,,0.061,1.0,1.0,-2.3469886286762955,-2.495916050037617,2002.0,2002.0
163,99.0,15.0,,CHL,p,,,female,0.012,,0.11,0.0,0.0,-2.1471047044147937,-2.2093147932799364,1999.0,1992.0
164,99.0,15.0,,CHL,p,,,male,0.006,,0.024,0.0,0.0,-2.1471047044147937,-2.2093147932799364,1999.0,1992.0
165,99.0,65.0,,CHL,p,,,total,0.015,,0.044000000000000004,0.0,1.0,-2.1471047044147937,-2.2093147932799364,1999.0,1992.0
166,64.0,55.0,,CHL,p,,,total,0.02,,0.098,0.0,1.0,-2.1471047044147937,-2.2093147932799364,1999.0,1992.0
167,54.0,45.0,,CHL,p,,,total,0.022000000000000002,,0.133,0.0,1.0,-2.1471047044147937,-2.2093147932799364,1999.0,1992.0
168,44.0,35.0,,CHL,p,,,total,0.026000000000000002,,0.129,0.0,1.0,-2.1471047044147937,-2.2093147932799364,1999.0,1992.0
169,34.0,25.0,,CHL,p,,,total,0.013000000000000001,,0.08800000000000001,0.0,1.0,-2.1471047044147937,-2.2093147932799364,1999.0,1992.0
170,24.0,15.0,,CHL,p,,,total,0.022000000000000002,,0.091,0.0,1.0,-2.1471047044147937,-2.2093147932799364,1999.0,1992.0
171,99.0,18.0,,CHN,p,,0.0644,female,-0.99,0.0816,0.0725,0.0,0.0,-4.029621537411595,-2.6614135111058417,2005.0,2001.0
172,99.0,18.0,,CHN,p,,0.0337,male,-0.99,0.048799999999999996,0.0406,0.0,0.0,-4.029621537411595,-2.6614135111058417,2005.0,2001.0
173,99.0,18.0,,CHN,p,,0.045700000000000005,total,-0.99,0.0592,0.052000000000000005,0.0,0.0,-4.029621537411595,-2.6614135111058417,2005.0,2001.0
174,99.0,18.0,,CHN,p,,0.0542,total,-0.99,0.08650000000000001,0.06860000000000001,0.0,0.0,-4.029621537411595,-2.6614135111058417,2005.0,2001.0
175,69.0,65.0,,CHN,p,,,female,0.033,,0.034,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
176,64.0,60.0,,CHN,p,40.0,,female,-0.99,,0.0,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
177,59.0,55.0,,CHN,p,,,female,0.012,,0.013000000000000001,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
178,54.0,50.0,,CHN,p,,,female,0.018000000000000002,,0.019,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
179,49.0,45.0,,CHN,p,,,female,0.006,,0.013000000000000001,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
180,44.0,40.0,,CHN,p,,,female,0.008,,0.023,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
181,39.0,35.0,,CHN,p,,,female,0.003,,0.008,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
182,29.0,25.0,,CHN,p,,,female,0.006999999999999999,,0.023,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
183,24.0,20.0,,CHN,p,,,female,0.004,,0.013000000000000001,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
184,19.0,19.0,,CHN,p,,,female,0.004,,0.006,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
185,18.0,18.0,,CHN,p,,,female,0.005,,0.006999999999999999,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
186,69.0,60.0,,CHN,p,,,female,0.006,,0.015,0.0,0.0,-2.574553385945923,-2.660019987977361,2003.0,2002.0
187,59.0,50.0,,CHN,p,,,female,0.01,,0.023,0.0,0.0,-2.574553385945923,-2.660019987977361,2003.0,2002.0
188,49.0,40.0,,CHN,p,,,female,0.004,,0.015,0.0,0.0,-2.574553385945923,-2.660019987977361,2003.0,2002.0
189,39.0,30.0,,CHN,p,,,female,0.006999999999999999,,0.016,0.0,0.0,-2.574553385945923,-2.660019987977361,2003.0,2002.0
190,29.0,20.0,,CHN,p,,,female,0.008,,0.017,0.0,0.0,-2.574553385945923,-2.660019987977361,2003.0,2002.0
191,19.0,19.0,,CHN,p,,,female,0.02,,0.021,0.0,0.0,-2.574553385945923,-2.660019987977361,2003.0,2002.0
192,18.0,18.0,,CHN,p,35.0,,female,-0.99,,0.0,0.0,0.0,-2.574553385945923,-2.660019987977361,2003.0,2002.0
193,69.0,65.0,,CHN,p,55.0,,male,-0.99,,0.0,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
194,64.0,60.0,,CHN,p,,,male,0.005,,0.005,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
195,59.0,55.0,,CHN,p,53.0,,male,-0.99,,0.0,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
196,54.0,50.0,,CHN,p,,,male,0.015,,0.021,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
197,49.0,45.0,,CHN,p,,,male,0.003,,0.003,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
198,44.0,40.0,,CHN,p,,,male,0.001,,0.001,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
199,39.0,35.0,,CHN,p,,,male,0.003,,0.005,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
200,29.0,25.0,,CHN,p,,,male,0.005,,0.011000000000000001,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
201,24.0,20.0,,CHN,p,,,male,0.006,,0.015,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
202,19.0,19.0,,CHN,p,98.0,,male,-0.99,,0.0,1.0,0.0,-2.685654183883074,-2.689648944018643,2008.0,2008.0
