,area,pop,sex,x_cv_below7disorders,x_cv_past_year,x_ln_mx_conflict,x_ln_mx_war_10years,year
219,ATG,40.28952380000002,female,0.0,0.0,,-4.250428027039955,2005.0
220,ATG,42.322424,male,0.0,0.0,,,2010.0
221,ATG,43.001781199999996,female,0.0,0.0,,,2010.0
222,BHS,127.34762800000003,male,0.0,0.0,,-1.8593580028595103,1990.0
223,BHS,129.11180629999993,female,0.0,0.0,,-1.8593580028595103,1990.0
224,BHS,156.35863059999997,male,0.0,0.0,-4.029621537411595,-2.227944870342849,2005.0
225,BHS,163.80183919999993,female,0.0,0.0,-4.029621537411595,-2.227944870342849,2005.0
226,BHS,167.48004999999998,male,0.0,0.0,,-4.250428027039955,2010.0
227,BHS,175.01806429999996,female,0.0,0.0,,-4.250428027039955,2010.0
228,BLZ,94.65732240000004,male,0.0,0.0,-1.5662711797520006,-1.6520747554101074,1990.0
229,BLZ,96.21509649999996,female,0.0,0.0,-1.5662711797520006,-1.6520747554101074,1990.0
230,BLZ,138.97124259999993,male,0.0,0.0,-4.029621537411595,-4.250428027039955,2005.0
231,BLZ,142.12497410000003,female,0.0,0.0,-4.029621537411595,-4.250428027039955,2005.0
232,BLZ,154.18023970000002,male,0.0,0.0,,-4.250428027039955,2010.0
233,BLZ,157.72733089999986,female,0.0,0.0,,-4.250428027039955,2010.0
234,BRB,124.77616889999996,male,0.0,0.0,,,1990.0
235,BRB,134.7504400000001,female,0.0,0.0,,,1990.0
236,BRB,134.42650179999993,male,0.0,0.0,,-4.250428027039955,2005.0
237,BRB,136.18513989999994,female,0.0,0.0,,-4.250428027039955,2005.0
238,BRB,135.5988325,male,0.0,0.0,,-4.250428027039955,2010.0
239,BRB,137.61587770000003,female,0.0,0.0,,-4.250428027039955,2010.0
240,CUB,5319.0689728,male,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
241,CUB,5236.507271399997,female,0.0,0.0,-4.029621537411595,-4.250428027039955,1990.0
242,CUB,5660.963350500004,male,0.0,0.0,-2.4898122903505993,-2.5214971531818833,2005.0
243,CUB,5597.310038399999,female,0.0,0.0,-2.4898122903505993,-2.5214971531818833,2005.0
244,CUB,5674.2297413000015,male,0.0,0.0,-2.522919195738156,-2.639017603683818,2010.0
245,CUB,5607.842941900004,female,0.0,0.0,-2.522919195738156,-2.639017603683818,2010.0
246,DMA,33.659543700000015,male,0.0,0.0,,-1.963606804518764,1990.0
247,DMA,34.05078340000001,female,0.0,0.0,,-1.963606804518764,1990.0
248,DMA,34.19224649999996,male,0.0,0.0,,-4.250428027039955,2005.0
249,DMA,34.74902999999999,female,0.0,0.0,,-4.250428027039955,2005.0
250,DMA,34.489438,male,0.0,0.0,,-4.250428027039955,2010.0
251,DMA,35.0927479,female,0.0,0.0,,-4.250428027039955,2010.0
252,DOM,3638.1678003,male,0.0,0.0,,-2.1968892120509778,1990.0
253,DOM,3571.0103355,female,0.0,0.0,,-2.1968892120509778,1990.0
254,DOM,4658.4028833,male,0.0,0.0,-4.029621537411595,-2.736829655654372,2005.0
255,DOM,4610.793148500002,female,0.0,0.0,-4.029621537411595,-2.736829655654372,2005.0
256,DOM,4978.638407899997,male,0.0,0.0,-4.029621537411595,-2.9954609124761045,2010.0
257,DOM,4944.93366,female,0.0,0.0,-4.029621537411595,-2.9954609124761045,2010.0
258,GRD,47.346161299999984,male,0.0,0.0,,-1.7552253281276295,1990.0
259,GRD,48.5872789,female,0.0,0.0,,-1.7552253281276295,1990.0
260,GRD,51.203883499999975,male,0.0,0.0,-4.029621537411595,-2.044497504214901,2005.0
261,GRD,51.75627409999998,female,0.0,0.0,-4.029621537411595,-2.044497504214901,2005.0
262,GRD,52.27774959999997,male,0.0,0.0,,-4.250428027039955,2010.0
263,GRD,52.327774600000005,female,0.0,0.0,,-4.250428027039955,2010.0
264,GUY,361.2378066999999,male,0.0,0.0,-2.018373103180991,-1.6396956249520984,1990.0
265,GUY,371.25501830000013,female,0.0,0.0,-2.018373103180991,-1.6396956249520984,1990.0
266,GUY,363.7894509000001,male,0.0,0.0,-4.029621537411595,-2.2566116318430383,2005.0
267,GUY,362.12106889999995,female,0.0,0.0,-4.029621537411595,-2.2566116318430383,2005.0
268,GUY,380.67694480000006,male,0.0,0.0,,-1.79731304451998,2010.0
269,GUY,376.92184150000026,female,0.0,0.0,,-1.79731304451998,2010.0
270,HTI,3514.6802684000013,male,0.0,0.0,,-2.5286638435569317,1990.0
271,HTI,3614.9416072999984,female,0.0,0.0,,-2.5286638435569317,1990.0
272,HTI,4640.739771200001,male,0.0,0.0,-1.9444212413604232,-2.075105244358332,2005.0
273,HTI,4720.6569298,female,0.0,0.0,-1.9444212413604232,-2.075105244358332,2005.0
274,HTI,4957.502266800001,male,0.0,0.0,-4.029621537411595,-2.066014164901096,2010.0
275,HTI,5039.711622999999,female,0.0,0.0,-4.029621537411595,-2.066014164901096,2010.0
276,JAM,1169.8807102,male,0.0,0.0,-2.219939896267419,-2.3183413885225557,1990.0
277,JAM,1207.942542799999,female,0.0,0.0,-2.219939896267419,-2.3183413885225557,1990.0
278,JAM,1329.0842403999993,male,0.0,0.0,-4.029621537411595,-1.8951582756126404,2005.0
279,JAM,1367.0252886,female,0.0,0.0,-4.029621537411595,-1.8951582756126404,2005.0
280,JAM,1352.9291693999999,male,0.0,0.0,-4.029621537411595,-2.0092446869765315,2010.0
281,JAM,1396.2651736999997,female,0.0,0.0,-4.029621537411595,-2.0092446869765315,2010.0
282,LCA,68.39187140000001,male,0.0,0.0,,-4.250428027039955,1990.0
283,LCA,71.12952299999999,female,0.0,0.0,,-4.250428027039955,1990.0
284,LCA,80.75267760000001,male,0.0,0.0,,,2005.0
285,LCA,84.76161439999993,female,0.0,0.0,,,2005.0
286,LCA,84.6807086,male,0.0,0.0,-4.029621537411595,-4.250428027039955,2010.0
287,LCA,89.28787609999999,female,0.0,0.0,-4.029621537411595,-4.250428027039955,2010.0
288,SUR,207.01955379999998,male,0.0,0.0,-1.8688336939530121,-1.5727534281896183,1990.0
289,SUR,200.38684519999998,female,0.0,0.0,-1.8688336939530121,-1.5727534281896183,1990.0
290,SUR,249.69583680000002,male,0.0,0.0,,,2005.0
291,SUR,246.60449470000006,female,0.0,0.0,,,2005.0
292,SUR,262.95276440000015,male,0.0,0.0,,-4.250428027039955,2010.0
293,SUR,261.4300829000001,female,0.0,0.0,,-4.250428027039955,2010.0
294,TTO,597.7354186999995,male,0.0,0.0,-1.649006987728839,-2.0562097343185655,1990.0
295,TTO,618.2600805000004,female,0.0,0.0,-1.649006987728839,-2.0562097343185655,1990.0
296,TTO,639.7332661000002,male,0.0,0.0,,-2.308354472768438,2005.0
297,TTO,676.7463143999998,female,0.0,0.0,,-2.308354472768438,2005.0
298,TTO,650.4491822000002,male,0.0,0.0,,-2.3603959257927976,2010.0
299,TTO,691.6781147999999,female,0.0,0.0,,-2.3603959257927976,2010.0
300,VCT,53.313508399999996,male,0.0,0.0,,-1.7461508382314472,1990.0
301,VCT,53.87220059999997,female,0.0,0.0,,-1.7461508382314472,1990.0
302,VCT,55.072670699999996,male,0.0,0.0,,-4.250428027039955,2005.0
303,VCT,53.9959685,female,0.0,0.0,,-4.250428027039955,2005.0
